b' ',b' ',b' ',b' ',b' '
b'Tue Apr 17 01:55:03 +0000 2018',986060440257130496,889534836981063680,b'Rica Fredrickson',"b'RT @Mommandem: @HillaryClinton @HelloMittyKitty Barbara Bush was a class act.But You are an inspiration to women the world over. Educated,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:04 +0000 2018',986060444719878144,874714596,b'Reagan\xe2\x80\x99s mom',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:07 +0000 2018',986060454337306624,797606028221161472,b'RAYETTE FUSS',b'RT @ajm0919: @DanaLathim @sherkatillion @HillaryClinton Libs out in full force today!'
b'Tue Apr 17 01:55:07 +0000 2018',986060455595491328,357138336,b'Chief Inspector',"b""RT @NRAVikki: @tedrad @SarahReloaded @BarackObama Illegals can obtain 'documentation', but that doesn't mean they're a citizen."""
b'Tue Apr 17 01:55:10 +0000 2018',986060469612900353,824462304905351168,b'Tom',"b'@ObamaFoundation @BarackObama We don\xe2\x80\x99t need Socialism, communism . Please Vote Travis Allen in California!!  Take back California!!'"
b'Tue Apr 17 01:55:08 +0000 2018',986060459093708800,926581540829745159,b'Willa Jones Johnson',"b'RT @dekdarion: Among their many other crimes, @hillaryclinton and @DNC were laundering campaign money through state chapters. Now the FEC i\xe2\x80\xa6'"
b'Tue Apr 17 01:55:14 +0000 2018',986060483336777730,179719307,b'Sarah Reynolds',b'RT @atensnut: Once again.... Comey is helping dig Hillary\xe2\x80\x99s grave Deeper.  This idiot doesn\xe2\x80\x99t know when to be quite.  His EGO is bigger tha\xe2\x80\xa6'
b'Tue Apr 17 01:55:14 +0000 2018',986060487472369664,713647012709683200,b'Pat  \xf0\x9f\x87\xba\xf0\x9f\x87\xb8',"b'@brithume The Pulitzer\xe2\x80\x99s lost any credibility when @BarackObama received one. Now the @NYT Its all laughable, but it\xe2\x80\x99s not.'"
b'Tue Apr 17 01:55:16 +0000 2018',986060494510411778,56826264,b'Brian Kinsella',"b'RT @TEDNews: In an era of fake news, can we still rely on our own eyes to spot the truth? This computer-generated @BarackObama speech sugge\xe2\x80\xa6'"
b'Tue Apr 17 01:55:16 +0000 2018',986060495533887489,863078085058539521,b'CNNHeadlineGenerator',b'Haha better than @BarackObama. #MAGA #MondayMotivation #TaxDay https://t.co/HLj4u1c0Oc'
b'Tue Apr 17 01:55:17 +0000 2018',986060498616676352,125884928,b'did COHEN SELL SECRETS to Fsb/mossad VIA DOTARD?',"b'and we all thought COHEN was just some DUMB PERVERT,arranging millionaire abortions--- Uhhh no this fuqqer was PRIV\xe2\x80\xa6 https://t.co/zNUjawivM5'"
b'Tue Apr 17 01:55:21 +0000 2018',986060513699180545,2266295418,b'The Shape of Andy',"b""RT @Cheekee996: @DanDeFreest @HillaryClinton She's waiting for Michelle to send her something to read out in mangled English ....\n\n#NotMyPr\xe2\x80\xa6"""
b'Tue Apr 17 01:55:22 +0000 2018',986060519718227968,1942353900,b'Veronica',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:22 +0000 2018',986060519999229952,964701983390208000,b'M .l.pardew',b'RT @Justsaytruth18: @dbongino In 2016 the computer specialist who deleted @HillaryClinton 33.000 emails despite orders from #Congress to pr\xe2\x80\xa6'
b'Tue Apr 17 01:55:25 +0000 2018',986060530073964545,145838102,b'Fat Daddy Dale',b'RT @MalenaJBenitez: @HillaryClinton and Dems when @Comey wrote her exoneration before the trial ended and found her not guilty. https://t.c\xe2\x80\xa6'
b'Tue Apr 17 01:55:26 +0000 2018',986060536617021441,1516541190,b'SharingTheNewsand',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:27 +0000 2018',986060538118656000,19554918,b'nell post',b'RT @DanDeFreest: @HillaryClinton Interesting how a former First Lady expresses her feelings while the current first lady is one-again silen\xe2\x80\xa6'
b'Tue Apr 17 01:55:28 +0000 2018',986060542296121344,183574908,b'@John Williamson\xf0\x9f\x8e\x9a\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',b'@HillaryClinton Hillary. I heard your favorite movie is Face Off... Is that true??'
b'Tue Apr 17 01:55:29 +0000 2018',986060546582679554,878731405093679109,b'Chance may crown me',b'@RubenFromDeep @GovMikeHuckabee @HillaryClinton Wow. So many morons.'
b'Tue Apr 17 01:55:30 +0000 2018',986060550873362432,796111182839119872,b'Robert Salazar',b'@RobertRocklein @DanDeFreest @peacevision @Cheekee996 @HillaryClinton Yes Of Course Thanks To The Republicans and T\xe2\x80\xa6 https://t.co/8gefqeRn4W'
b'Tue Apr 17 01:55:30 +0000 2018',986060553255825408,2559647343,b'JoJo',b'RT @ArthurSchwartz: \xe2\x80\x9cThe @HillaryClinton Campaign and the @DNC allegedly used state chapters as strawmen to launder as much as $84 million\xe2\x80\xa6'
b'Tue Apr 17 01:55:31 +0000 2018',986060554920841217,3252868549,b'THE GUARDIAN #Trump Train @Beverly04409771',"b'RT @larryelder: If President @BarackObama spent the first year and a half of his presidency battling bogus charges of ""collusion,"" the coun\xe2\x80\xa6'"
b'Tue Apr 17 01:55:35 +0000 2018',986060573421912065,573448514,b'Ironside',b'@FoxNews @GreggJarrett @HillaryClinton @Comey @NextRevFNC The GOP spent 500 million trying to find HRC guilty of so\xe2\x80\xa6 https://t.co/UJqN4qhD3z'
b'Tue Apr 17 01:55:35 +0000 2018',986060575326326784,20846517,b'Matthew Cogdeill',b'RT @Matthewcogdeill: \xf0\x9f\x93\xa3#RETWEET To MAKE THIS GO VIRAL\xf0\x9f\x93\xa3\nMCCABE LIED UNDER OATH: The @BarackObama -appointed Inspector General found that Andr\xe2\x80\xa6'
b'Tue Apr 17 01:55:36 +0000 2018',986060576802549760,422236944,b'John Anderson',"b'@USAARMYVETERAN @TomSteyer @HillaryClinton I have never served, but my father, brother and son have. They did this\xe2\x80\xa6 https://t.co/UTg4fTVlwV'"
b'Tue Apr 17 01:55:37 +0000 2018',986060580183298050,809779553027719168,b'Free Press?  Yes!   Fake News?   No!',b'RT @PoliticalShort: Even more inappropriate is the fact that Comey drafted &amp; circulated a statement exonerating Hillary 2 months before the\xe2\x80\xa6'
b'Tue Apr 17 01:55:37 +0000 2018',986060580975935489,19554918,b'nell post',b'RT @DanDeFreest: @Cheekee996 @HillaryClinton  https://t.co/ECJUFabesa'
b'Tue Apr 17 01:55:37 +0000 2018',986060581374316545,64044550,b'Justice for Seth',b'@HillaryClinton @HumaAbedin https://t.co/0wnGNFsugQ'
b'Tue Apr 17 01:55:37 +0000 2018',986060581777047553,241333821,b'Cougarmkf',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:40 +0000 2018',986060593185677313,376761624,b'DocBarry1',b'RT @SebGorka: There\xe2\x80\x99s the rub. https://t.co/nhn4748ygO'
b'Tue Apr 17 01:55:40 +0000 2018',986060595332956160,952698087549489152,b'Joseph Drevets',b'RT @RubenFromDeep: @GovMikeHuckabee @HillaryClinton has 22.4 mil.'
b'Tue Apr 17 01:55:41 +0000 2018',986060597048631301,1398840546,b'John Abrahamson \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xb8\xf0\x9f\x87\xaa',"b'RT @drawandstrike: @ArthurSchwartz @HillaryClinton @DNC Narrator voice: ""...and they STILL lost.""'"
b'Tue Apr 17 01:55:41 +0000 2018',986060600559022080,824462304905351168,b'Tom',"b'@HillaryClinton We don\xe2\x80\x99t need Socialism, communism . Please Vote Travis Allen in California!!  Take back California!!'"
b'Tue Apr 17 01:55:42 +0000 2018',986060602622824448,580295821,b'David A Kenney',b'@FoxNews @HillaryClinton Fuck Hillary Clinton'
b'Tue Apr 17 01:55:42 +0000 2018',986060604787085312,759739541351571456,b'Lainee',b'RT @ArthurSchwartz: \xe2\x80\x9cThe @HillaryClinton Campaign and the @DNC allegedly used state chapters as strawmen to launder as much as $84 million\xe2\x80\xa6'
b'Tue Apr 17 01:55:45 +0000 2018',986060613477597184,139046968,b'Lonni Collins Pratt',"b""RT @StillLes4Hill: JUST TRUE\xe2\x80\x94There is 1 scenario\xe2\x80\x94&amp; only 1\xe2\x80\x94that would restore US's world standing. Rectify the hijacked election and swear i\xe2\x80\xa6"""
b'Tue Apr 17 01:55:45 +0000 2018',986060614559727616,871884487784845312,b'Ezra Pound',"b""@ghosted_coma @Belle4DJT @7tt_Kathy @SallyKeller7309 @POTUS @HillaryClinton That's a fact. No comparison. He won't\xe2\x80\xa6 https://t.co/JfhWr64Qc4"""
b'Tue Apr 17 01:55:46 +0000 2018',986060618850594816,903010105444196353,b'jon13',b'RT @MarkYoungTruth: That should all the information anyone needs to decide on Comey\xe2\x80\x99s credibility https://t.co/ll5og7bQFB'
b'Tue Apr 17 01:55:47 +0000 2018',986060623648665600,540026221,b'dilip anketell',b'@VettingBernie @TheDemocrats Corrupt fraudulent pathologically lying cheating stealing Clinton corporatist party ne\xe2\x80\xa6 https://t.co/Z5Qb2CZWq1'
b'Tue Apr 17 01:55:47 +0000 2018',986060623850156032,3310027153,b'nunyabus',b'RT @nunyabus1: @washingtonpost @nytimes @DineshDSouza @donnabrazile @HillaryClinton @NBCNews @MSNBC @cnnbrk @jaketapper @JoeNBC @NancyPelos\xe2\x80\xa6'
b'Tue Apr 17 01:55:47 +0000 2018',986060625918025728,806236583905083392,b'Roula',b'@larryelder @BarackObama Obama did a Great job of destroying the country without battling any charges of collusion or anything else!!'
b'Tue Apr 17 01:55:48 +0000 2018',986060626148712448,1084865640,b'bacon kate',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:48 +0000 2018',986060628132552704,26251551,b'Sheri Aden',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:48 +0000 2018',986060628350652416,22438730,b'Kaiser Jaeger IVX',"b""@JohnCena, bud how's this for a tier of a cake::: https://t.co/uDGP2MrPbx"""
b'Tue Apr 17 01:55:49 +0000 2018',986060634293862400,797606028221161472,b'RAYETTE FUSS',"b'Yes, we are ....giv8ng credit for class and empathy.  Go away trumptard https://t.co/UalQZZnK0E'"
b'Tue Apr 17 01:55:52 +0000 2018',986060643143860224,706896860120621057,b'Bethechange2',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:51 +0000 2018',986060640635666432,827840077313171456,b'allequality2017',"b'@HillaryClinton \nHer Excellency Honorable Respected Madam,\nVery good day!\nVery eager to know possible and your prec\xe2\x80\xa6 https://t.co/1TBj3NobvU'"
b'Tue Apr 17 01:55:54 +0000 2018',986060651721183233,796111182839119872,b'Robert Salazar',b'RT @DanDeFreest: @RobertRocklein @peacevision @Cheekee996 @HillaryClinton Rich people have owned the Republican Party and guess what...they\xe2\x80\xa6'
b'Tue Apr 17 01:55:55 +0000 2018',986060658855858176,768417943122276353,b'Bruce Ferreira',b'@ArthurSchwartz @DineshDSouza @HillaryClinton @DNC Money laundering on top of everything else. \nHow many and what c\xe2\x80\xa6 https://t.co/JTVrrOUXuj'
b'Tue Apr 17 01:55:56 +0000 2018',986060661213093889,20061311,b'Abi \xf0\x9f\x87\xb3\xf0\x9f\x87\xac\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6',b'#stillwithHer https://t.co/Zi9oz2WPMo'
b'Tue Apr 17 01:55:58 +0000 2018',986060668599234560,819394386710630400,b'Willow',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:58 +0000 2018',986060669932965889,1835255983,b'@tillmantweets',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:55:59 +0000 2018',986060673934413825,77007627,b'Gina Moore Mauro',b'RT @AlexLondonUK: @HillaryClinton \n@realDonaldTrump \n\nWhich one will Lady Justice pick?\nBenghazi? \nUranium 1? \nTreason? \nEmail Scandal? \nCl\xe2\x80\xa6'
b'Tue Apr 17 01:55:59 +0000 2018',986060674873819137,871884487784845312,b'Ezra Pound',b'@jlw_jamie @7tt_Kathy @DoctorSekzi @Belle4DJT @SallyKeller7309 @POTUS @HillaryClinton You first.'
b'Tue Apr 17 01:55:59 +0000 2018',986060675159089153,49067992,b'Ruben Martinez',"b'@BrilliantMind16 @GovMikeHuckabee @HillaryClinton Yup, one million of them.'"
b'Tue Apr 17 01:56:00 +0000 2018',986060676841033728,26436867,b'Andrew',b'@JulesHates @DanaLathim @sherkatillion @HillaryClinton You\xe2\x80\x99re so mad!!!'
b'Tue Apr 17 01:56:01 +0000 2018',986060681467367425,1667624726,b'Carlos Fuentes',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:56:02 +0000 2018',986060688090157057,931753279008247809,b'FACEMECOWARD',b'@KatyTurNBC @MSNBC @CNN @AriMelber @CoryBooker @KamalaHarris @FBI @chrislhayes @maddow @PhilMurphyNJ @MaddowBlog\xe2\x80\xa6 https://t.co/uPSXK3yhcg'
b'Tue Apr 17 01:56:03 +0000 2018',986060691961466881,776644521845063681,b'RavenPatriot',b'@HillaryClinton this is why women did not vote for you! Because little girls need to see that for a woman to be pre\xe2\x80\xa6 https://t.co/R0C4z8xFyn'
b'Tue Apr 17 01:56:04 +0000 2018',986060693689397248,754092509932892160,b'Karla',"b""@weeklystandard Correct me if I'm wrong, but didn't @BarackObama request use of force in Syria, and CONGRESS did not approve?"""
b'Tue Apr 17 01:56:04 +0000 2018',986060693496582144,588077179,b'Tina La Ree',b'@girl4_trump @HillaryClinton @realDonaldTrump Disgusting beta male'
b'Tue Apr 17 01:56:05 +0000 2018',986060700165595139,3148625761,b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Jus Kix\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',b'RT @TrueTrixie3: @BarackObama The World misses you!'
b'Tue Apr 17 01:56:06 +0000 2018',986060704745754630,355376260,b'Mohammed Zaman',b'@b4hillary @PalmerReport @HillaryClinton Wow. \xf0\x9f\x98\x84 The world suddenly changed with a single election and the biggest ever con in Oval Office.'
b'Tue Apr 17 01:56:06 +0000 2018',986060705404104704,2444653466,"b'Robert Swan Mewller, III'",b'RT @Nickiflorida: @YerOpinion @PATRICIAMEEHA17 @susin_bailey @WendyTruong3 @kneadinghands @TrishCooper14 @Debi129 @Marjori87941817 @citoyen\xe2\x80\xa6'
b'Tue Apr 17 01:56:08 +0000 2018',986060711184031744,1835255983,b'@tillmantweets',b'RT @atensnut: Once again.... Comey is helping dig Hillary\xe2\x80\x99s grave Deeper.  This idiot doesn\xe2\x80\x99t know when to be quite.  His EGO is bigger tha\xe2\x80\xa6'
b'Tue Apr 17 01:56:12 +0000 2018',986060727235457024,797606028221161472,b'RAYETTE FUSS',b'Sick trumptard https://t.co/DcERLY1xXj'
b'Tue Apr 17 01:56:15 +0000 2018',986060740476928000,842452903814135808,b'Debbie Russo',b'@JayandChrissy2 @RyanEGraney @MichaelCohen212 @McClatchyDC @FBI @HillaryClinton @POTUS 1.Comey admitted 2revealing\xe2\x80\xa6 https://t.co/0CNMcs1GCS'
b'Tue Apr 17 01:56:15 +0000 2018',986060741701787650,838467824,b'elinor edel',b'RT @KrisParonto: And the core of your book Jim is based on integrity ??? What exactly is your definition of integrity Jim?? @Comey @Hillary\xe2\x80\xa6'
b'Tue Apr 17 01:56:16 +0000 2018',986060747288514560,89423321,b'Black Market Beagle',b'RT @PoliticalShort: Even more inappropriate is the fact that Comey drafted &amp; circulated a statement exonerating Hillary 2 months before the\xe2\x80\xa6'
b'Tue Apr 17 01:56:19 +0000 2018',986060759456190465,816028490373955584,b'Celeste B',"b'RT @seanhannity: Question for @GStephanopoulos, did @HillaryClinton break the law when she mishandled and destroyed classified, top secret,\xe2\x80\xa6'"
b'Tue Apr 17 01:56:20 +0000 2018',986060763126288384,107288394,b'Martin',"b'RT @ANQNQMQUS: Armenia has more #QAnon searches than #USA !! \n\n#Q says large group of clowns in Armemia. \n\nIronically , the Kardashian idio\xe2\x80\xa6'"
b'Tue Apr 17 01:56:20 +0000 2018',986060763495305216,580997146,b'Dr. Gene Lingerfelt \xf0\x9f\x99\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',"b""RT @JohnRLottJr: Comey: \xe2\x80\x98My Wife and Girls\xe2\x80\x99 Marched in the Anti-Trump March, Voted Hillary. Comey's wife was devastated that Hillary lost t\xe2\x80\xa6"""
b'Tue Apr 17 01:56:21 +0000 2018',986060766624272385,2627823295,b'Lucian Hughes',b'@GeorgeHWBush @BarackObama @TAMU @aggiembk @marchmadness I had the Aggies winning it all also.'
b'Tue Apr 17 01:56:22 +0000 2018',986060769098739712,493206648,b'DJA',"b'RT @_SemaHernandez_: Hey @DebraMessing where the fuck were you when #Flint, #NoDAPL, #Yemen, #TPP, #MassIncarceration #Deportation were hap\xe2\x80\xa6'"
b'Tue Apr 17 01:56:23 +0000 2018',986060773083369472,797485736782131204,b'California Girl',b'RT @HillaryWarnedUs: SHE NEEDS TO MAKE A COCKTAIL https://t.co/V7t0PlgN6M'
b'Tue Apr 17 01:56:23 +0000 2018',986060773469204481,554672848,b'Ron Genova',b'@FoxBusiness @GOPChairwoman @HillaryClinton Incredible'
b'Tue Apr 17 01:56:23 +0000 2018',986060776623386624,823641424268640256,b'Linda Cathey',b'RT @DFWDeplorable: @Thomas1774Paine Mr. @POTUS - Have your lawyers store client records with @HillaryClinton for safekeeping - The @FBI wil\xe2\x80\xa6'
b'Tue Apr 17 01:56:24 +0000 2018',986060780926795777,817936323558440960,b'Fallen Angels',b'@VancityReynolds @MiloVentimiglia @MarkRuffalo @ChrisEvans @chrishemsworth @SethGreen @Sethrogen @GeorgeTakei\xe2\x80\xa6 https://t.co/zTqGCt21gv'
b'Tue Apr 17 01:56:26 +0000 2018',986060787658747905,912378599445024768,b'V for Victory!\xf0\x9f\x87\xba\xf0\x9f\x87\xb8RIP Gunny!',b'@HillaryClinton  https://t.co/QVhIUQr4dl'
b'Tue Apr 17 01:56:27 +0000 2018',986060792004075522,758202865563336704,b'ConservativeGirl',b'@DanDeFreest @HillaryClinton Aren\xe2\x80\x99t you just a low life petty person? It\xe2\x80\x99s sick that Someone\xe2\x80\x99s failing health gives\xe2\x80\xa6 https://t.co/6efF4lxA2z'
b'Tue Apr 17 01:56:30 +0000 2018',986060805841055744,3968744956,b'Juli \xf0\x9f\x87\xba\xf0\x9f\x87\xb8',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:56:31 +0000 2018',986060808953020417,451861871,b'stefanie lassiter',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:56:31 +0000 2018',986060810433843201,3133633698,b'Don Burcham',"b'RT @JaxAlemany: A favorite picture I took on the campaign trail: Barbara Bush wheeling her way through a blizzard in Derry, New Hampshire t\xe2\x80\xa6'"
b'Tue Apr 17 01:56:34 +0000 2018',986060822639185921,46566402,b'MTK\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x92\x99\xf0\x9f\x87\xae\xf0\x9f\x87\xb1',"b'RT @sanrous2: @Rightwingmadman @HillaryClinton @Comey Can you really compare  Comey\'s outting Hillary\'s dirty treasonous deeds; ""Huma! Did\xe2\x80\xa6'"
b'Tue Apr 17 01:56:35 +0000 2018',986060825554108416,2646945926,b'chad charzys',b'@T38_Driver @thehill @georgesoros @HillaryClinton @realDonaldTrump So everyone is corrupt ? And trump and his swamp\xe2\x80\xa6 https://t.co/LUuDF5HCJR'
b'Tue Apr 17 01:56:37 +0000 2018',986060835024973832,793462659559542784,b'Dafyd ua Duinnin',b'RT @BradMossEsq: Did Comey ever really interact with Clinton? https://t.co/5so932dCte'
b'Tue Apr 17 01:56:37 +0000 2018',986060835234529280,574879211,b'-Still Bill-',b'This tweet aged well. https://t.co/And5l6U22F'
b'Tue Apr 17 01:56:38 +0000 2018',986060837625499648,1568141551,b'Mike Teigen',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:56:38 +0000 2018',986060838178996224,815324606688964608,b'Patrick Greeman',"b'@DemGovs You screwed Bernie, what\xe2\x80\x99s in store for the next one. @BernieSanders @SenSanders'"
b'Tue Apr 17 01:56:40 +0000 2018',986060847993810945,260613788,b'Tom Blue',b'RT @gretchenbaer: @HillaryClinton Class acts! #ImWithHer always! https://t.co/dBe6QiUV89'
b'Tue Apr 17 01:56:43 +0000 2018',986060858206892033,809977070,b'Amy Roomato',b'RT @ArthurSchwartz: \xe2\x80\x9cThe @HillaryClinton Campaign and the @DNC allegedly used state chapters as strawmen to launder as much as $84 million\xe2\x80\xa6'
b'Tue Apr 17 01:56:43 +0000 2018',986060859972595712,3403637675,b'banANA Navarro',b'RT @skoalbandit1776: @JamesHHobson @Alyssa_Milano @jeffsessions @SenateMajLdr @SpeakerRyan @SenThomTillis @SenatorBurr @LindseyGrahamSC @li\xe2\x80\xa6'
b'Tue Apr 17 01:56:45 +0000 2018',986060866268250112,281294439,b'COHouseDems',"b'RT @crisantaduran: Last yr., @BetsyDeVos rescinded @BarackObama-era guidance for colleges on how they should address sex assault under Titl\xe2\x80\xa6'"
b'Tue Apr 17 01:56:46 +0000 2018',986060869288120320,546339179,b'Hawaii4Trump',b'RT @MarkYoungTruth: That should all the information anyone needs to decide on Comey\xe2\x80\x99s credibility https://t.co/ll5og7bQFB'
b'Tue Apr 17 01:56:46 +0000 2018',986060871662104577,41520155,b'Scarlet Alliance',"b'RT @NgiyaniPtyLtd: #YesWeCan #BecauseOfHerWeCan A first for Australia, assembling in July 2018, black and proud female leadership which has\xe2\x80\xa6'"
b'Tue Apr 17 01:56:49 +0000 2018',986060883507007489,884890093303066625,b'\xf0\x9f\x8c\x8a Trumpery \xf0\x9f\x8c\x8a',b'@wendirby671 @robcamacho @ananavarro @Andy @HillaryClinton @BarackObama @realDonaldTrump @MichaelCohen212 @FoxNews\xe2\x80\xa6 https://t.co/sLspO0qmUm'
b'Tue Apr 17 01:56:50 +0000 2018',986060886983950337,3357144673,b'Crackenthrope',"b'RT @FoxNews: .@MariaBartiromo: ""Why did Jim @Comey take so many memos about @POTUS, then President-elect or candidate Trump, and no memos a\xe2\x80\xa6'"
b'Tue Apr 17 01:56:50 +0000 2018',986060887961124864,797606028221161472,b'RAYETTE FUSS',b'Idiot in chief https://t.co/1PrnfJFm2r'
